Entity,Code,Year,Child wasting,Child stunting,High fasting plasma glucose,High total cholesterol,High systolic blood pressure,High body-mass index,Diet low in fruits - Sex: Both,Diet low in vegetables,Unsafe water source,Unsafe sanitation,Ambient particulate matter pollution,Household air pollution from solid fuels,Iron deficiency,Vitamin A deficiency,Zinc deficiency,Smoking,Diet high in sodium,Low physical activity,Non-exclusive breastfeeding,Secondhand smoke,Drug use,Air pollution
Albania,ALB,2017,4120.682609,769.0012779,59511.65398,,130145.824,70691.40144,16638.22785,1870.59688,1241.413606,486.084872,19203.94313,17478.94215,5129.526531,1907.339991,64.14119188,101880.6908,29770.01149,10338.86909,750.2830969,13990.31905,7110.321685,37445.25492
Algeria,DZA,2017,65184.00497,8310.11217,838116.3898,,854721.5684,989366.7097,216332.1455,97811.8259,38246.35805,11945.98881,383947.2787,1892.349207,76875.07849,25739.11059,1749.068025,554520.9167,120638.8198,150666.5664,12583.54679,164605.3112,359714.5256,393042.5352
Andorra,AND,2017,4.919154174,0.196926127,1366.907637,,1489.294942,1543.206686,225.6657519,134.4343016,0.818476056,0.568306452,433.8393757,5.705066429,44.99799721,5.052994983,0.391173343,2201.419278,273.4666492,213.8381665,0.560627828,187.895909,318.9015943,483.4245805
Angola,AGO,2017,1359475.544,326360.6711,491942.535,,401521.2318,255665.3239,94112.43773,65135.807,1036034.883,679973.3289,168226.0288,370515.0125,314572.877,464060.586,45206.75873,297455.2268,44486.24063,29421.16962,208773.1342,124427.713,72070.15243,543782.4493
Argentina,ARG,2017,59406.07633,3939.632484,1060015.209,,853238.5611,1056871.9,185052.0098,190731.609,33945.39099,8730.176802,334715.3408,27815.73734,78073.89829,15104.75754,2335.546397,1371714.934,183112.5388,98733.05561,8144.575359,172629.7297,214256.4514,374487.3598
Armenia,ARM,2017,3265.149836,510.4515314,148288.0216,,151455.0083,107474.005,31762.77704,249.2439527,872.2577158,1256.581909,48400.98649,11911.81369,10004.58393,142.1288002,80.40120034,127630.2889,34066.25268,17684.64585,706.1839395,26357.26012,11032.03217,61861.19415
Australia,AUS,2017,3259.762789,177.9179693,370891.9687,,381378.8741,508218.2372,91252.63786,60643.6497,1424.707111,302.8494577,92177.10254,776.694474,9692.869616,608.6409716,115.8484027,538618.8054,39881.44214,66831.94023,728.1252446,43102.21175,193999.0491,96387.64801
Austria,AUT,2017,585.59933,32.90224255,233811.9091,,248801.5084,200215.9192,32448.67104,31758.59585,141.2334815,369.4122584,63016.28668,1119.317884,4998.61744,814.7744501,56.54377191,289830.3874,40426.07371,32875.76113,145.4682268,24228.04315,38834.29921,68954.09004
Azerbaijan,AZE,2017,80550.44811,12798.71304,438070.2031,,525513.1601,376496.7817,129704.3675,15137.22605,11773.74783,11475.51155,142270.5456,52918.84501,37368.51965,10547.18041,1453.061734,348691.2451,129578.712,51093.80819,26222.99321,103586.9669,35168.95112,198580.4681
Bahamas,BHS,2017,404.4049129,31.6016951,11237.61496,,12241.82814,13448.61577,384.0039182,1479.67064,454.2111144,95.59456835,3227.847688,224.2598348,745.4737846,106.20389,7.669099919,4709.896499,1007.583057,1230.333883,93.49296894,874.0488051,1396.571712,3493.504679
Bahrain,BHR,2017,464.3102173,34.51731049,36635.2856,,19319.11146,38503.42731,3766.405375,598.9716868,1155.440888,291.5884349,14877.44307,70.21059596,2940.171696,364.1438439,19.11137965,13385.2089,3054.62298,3270.020751,57.90245706,4105.81933,14039.72251,15123.88565
Bangladesh,BGD,2017,1298622.186,205241.2097,2834844.743,,3695322.904,1497783.041,1937011.868,1287243.384,935464.1635,653415.2732,1455339.201,2310723.626,849560.8674,235105.0675,26751.22829,2395735.679,1035151.224,399534.9922,148946.9709,721906.8638,420973.3081,3864577.493
Barbados,BRB,2017,206.0217741,12.02225234,13043.67563,,9260.382078,11618.22586,1842.295998,1404.277157,297.1544125,95.26530958,3930.135767,4.838348392,656.616865,59.75685355,3.310279593,4212.466319,821.2827679,1292.118003,41.20764885,654.1683,898.4076141,3942.590361
Belarus,BLR,2017,1967.830075,118.5144494,291272.3444,,819860.8246,478685.2777,173452.6922,62882.28607,1398.653254,1106.21322,172980.0934,2443.970781,11786.84544,405.5261083,99.14181063,581207.3061,144927.1359,90056.1228,426.514429,57320.97923,62685.40773,177576.5855
Belgium,BEL,2017,2738.892388,57.53285468,279383.9732,,258802.5941,228867.1115,66249.23068,26318.12178,369.3984853,238.5786272,92661.6461,589.2889216,7334.915116,1100.128643,46.53429713,468117.1093,35058.53246,39067.02386,257.098015,34895.09616,39006.14905,99850.33226
Belize,BLZ,2017,1409.052543,135.9143091,9989.176068,,6210.832827,9605.222453,1540.752918,1209.616973,944.6166483,398.2913323,2488.880834,1008.680928,1728.580758,264.9713322,22.64205652,3699.453118,445.8207066,763.7254744,318.5343011,762.7301226,1308.150053,3546.511684
Benin,BEN,2017,563788.3838,115441.0186,142330.5687,,148441.2904,120799.9342,50727.36087,30938.17073,350630.2909,273939.5002,57172.93502,242164.2278,110701.7838,201791.6767,14406.37302,61674.61001,15773.69441,9460.178294,73012.94809,28428.86888,26653.36981,300557.0198
Bermuda,BMU,2017,14.55407355,1.010873095,1758.155569,,1681.216336,2124.895426,45.90446051,209.4630013,76.53549763,11.69463266,476.3811805,48.22554124,123.745578,8.692024754,0.915549541,1486.798308,215.7993216,279.502787,2.006195882,170.5360027,236.969992,541.8331282
