Location,Year,category,death_rate
World,1990,outdoor_particulate_matter,43.67840174
World,1991,outdoor_particulate_matter,44.06889446
World,1992,outdoor_particulate_matter,44.38646737
World,1993,outdoor_particulate_matter,45.03151688
World,1994,outdoor_particulate_matter,45.1333732
World,1995,outdoor_particulate_matter,44.72360413
World,1996,outdoor_particulate_matter,44.6209049
World,1997,outdoor_particulate_matter,44.4750359
World,1998,outdoor_particulate_matter,44.17424982
World,1999,outdoor_particulate_matter,43.84194805
World,2000,outdoor_particulate_matter,43.37459928
World,2001,outdoor_particulate_matter,43.34384861
World,2002,outdoor_particulate_matter,43.51486125
World,2003,outdoor_particulate_matter,43.57839383
World,2004,outdoor_particulate_matter,42.80992407
World,2005,outdoor_particulate_matter,42.29156084
World,2006,outdoor_particulate_matter,41.6287983
World,2007,outdoor_particulate_matter,41.38997919
World,2008,outdoor_particulate_matter,41.53899285
World,2009,outdoor_particulate_matter,41.51473198
World,2010,outdoor_particulate_matter,41.52151695
World,2011,outdoor_particulate_matter,41.58987882
World,2012,outdoor_particulate_matter,39.9591145
World,2013,outdoor_particulate_matter,39.53356178
World,2014,outdoor_particulate_matter,38.7737191
World,2015,outdoor_particulate_matter,39.4939786
World,2016,outdoor_particulate_matter,38.20370082
World,2017,outdoor_particulate_matter,38.15435671
World,1990,indoor_air_pollution,61.11411293
World,1991,indoor_air_pollution,59.49973897
World,1992,indoor_air_pollution,58.01434853
World,1993,indoor_air_pollution,56.25255907
World,1994,indoor_air_pollution,54.5761687
World,1995,indoor_air_pollution,52.83752145
World,1996,indoor_air_pollution,51.11883524
World,1997,indoor_air_pollution,49.88258392
World,1998,indoor_air_pollution,48.31691802
World,1999,indoor_air_pollution,46.20332742
World,2000,indoor_air_pollution,44.56320771
World,2001,indoor_air_pollution,42.78777583
World,2002,indoor_air_pollution,41.20223338
World,2003,indoor_air_pollution,39.57645799
World,2004,indoor_air_pollution,37.62716708
World,2005,indoor_air_pollution,35.91437692
World,2006,indoor_air_pollution,34.14643254
World,2007,indoor_air_pollution,32.63703376
World,2008,indoor_air_pollution,31.32169755
World,2009,indoor_air_pollution,30.11806374
World,2010,indoor_air_pollution,29.0003007
World,2011,indoor_air_pollution,27.75815044
World,2012,indoor_air_pollution,26.94293126
World,2013,indoor_air_pollution,25.50833204
World,2014,indoor_air_pollution,24.50738956
World,2015,indoor_air_pollution,23.45182105
World,2016,indoor_air_pollution,22.76301741
World,2017,indoor_air_pollution,21.46604129
World,1990,outdoor_ozone_pollution,10.88108713
World,1991,outdoor_ozone_pollution,10.85532623
World,1992,outdoor_ozone_pollution,10.7777605
World,1993,outdoor_ozone_pollution,10.67720396
World,1994,outdoor_ozone_pollution,10.55062594
World,1995,outdoor_ozone_pollution,10.34648404
World,1996,outdoor_ozone_pollution,10.16447566
World,1997,outdoor_ozone_pollution,10.03172814
World,1998,outdoor_ozone_pollution,9.866383438
World,1999,outdoor_ozone_pollution,9.499443202
World,2000,outdoor_ozone_pollution,9.195418462
World,2001,outdoor_ozone_pollution,8.886959982
World,2002,outdoor_ozone_pollution,8.646533361
World,2003,outdoor_ozone_pollution,8.408639145
World,2004,outdoor_ozone_pollution,8.015360648
World,2005,outdoor_ozone_pollution,7.661309262
World,2006,outdoor_ozone_pollution,7.277718366
World,2007,outdoor_ozone_pollution,7.039370571
World,2008,outdoor_ozone_pollution,6.906950143
World,2009,outdoor_ozone_pollution,6.811128934
World,2010,outdoor_ozone_pollution,6.721140771
World,2011,outdoor_ozone_pollution,6.57588435
World,2012,outdoor_ozone_pollution,6.404655774
World,2013,outdoor_ozone_pollution,6.22870719
World,2014,outdoor_ozone_pollution,6.189589434
World,2015,outdoor_ozone_pollution,6.214319184
World,2016,outdoor_ozone_pollution,6.217144234
World,2017,outdoor_ozone_pollution,6.226275181
World,1990,air_pollution,111.2763644
World,1991,air_pollution,110.0721972
World,1992,air_pollution,108.8922686
World,1993,air_pollution,107.7590216
World,1994,air_pollution,106.1427826
World,1995,air_pollution,103.9098111
World,1996,air_pollution,102.0034334
World,1997,air_pollution,100.5548987
World,1998,air_pollution,98.60863438
World,1999,air_pollution,95.97299479
World,2000,air_pollution,93.70188555
World,2001,air_pollution,91.71778617
World,2002,air_pollution,90.16607801
World,2003,air_pollution,88.47200702
World,2004,air_pollution,85.52241984
World,2005,air_pollution,83.08974875
World,2006,air_pollution,80.42262592
World,2007,air_pollution,78.53168713
World,2008,air_pollution,77.29268247
World,2009,air_pollution,76.01453864
World,2010,air_pollution,74.85778937
World,2011,air_pollution,73.59929471
World,2012,air_pollution,71.09438593
World,2013,air_pollution,69.13054031
World,2014,air_pollution,67.38420427
World,2015,air_pollution,67.08150265
World,2016,air_pollution,65.1507846
World,2017,air_pollution,63.8229656
