Location,cause,Year,deaths
World,Alcohol use,1990,1800478.308
World,Child stunting,1990,1001277.449
World,Child wasting,1990,3365308.624
World,Diet high in red meat,1990,12894.9367
World,Diet high in sodium,1990,2222475.141
World,Diet low  in nutsandseeds,1990,1409270.218
World,Diet low in calcium,1990,103567.9417
World,Diet low in fiber,1990,593669.5975
World,Diet low in fruits,1990,1911940.632
World,Diet low in legumes,1990,400632.0827
World,Diet low in seafood omega3fattyacids,1990,992665.0779
World,Diet low in vegetables,1990,1287803.477
World,Diet low in whole grains,1990,2151022.727
World,Discontinued breastfeeding,1990,34850.39553
World,Drugs,1990,250864.6759
World,High bloodpressure,1990,6884458.978
World,High bodymass  index,1990,2159329.452
World,High fasting plasma glucose,1990,3436970.409
World,Iron deficiency,1990,125242.9483
World,Low birth weight for gestation,1990,1976612.538
World,Low bonemineraldensity,1990,152126.9382
World,Low physicalactivity,1990,842665.5794
World,No access to handwashing facility,1990,1239519.421
World,Nonexclusive breastfeeding,1990,514102.3516
World,Secondhand smoke,1990,1247230.879
World,Smoking,1990,5681577.793
World,Unsafe sanitation,1990,1638021.199
World,Unsafe sex,1990,461671.8476
World,Unsafe watersource,1990,2111659.077
World,VitaminA deficiency,1990,986994.9962
World,Zinc deficiency,1990,142313.1174
World,Air Pollution,1990,4693071.312
World,Indoor Air Pollution,1990,2708904.82
World,Outdoor Air Pollution,1990,2143845.13
World,Alcohol use,1991,1864042.538
World,Child stunting,1991,975802.7091
World,Child wasting,1991,3296648.253
World,Diet high in red meat,1991,13077.86707
World,Diet high in sodium,1991,2252610.545
World,Diet low  in nutsandseeds,1991,1429384.206
World,Diet low in calcium,1991,106215.0685
World,Diet low in fiber,1991,602587.3057
World,Diet low in fruits,1991,1938226.492
World,Diet low in legumes,1991,406915.6255
World,Diet low in seafood omega3fattyacids,1991,1007262.171
World,Diet low in vegetables,1991,1300099.19
World,Diet low in whole grains,1991,2185116.265
World,Discontinued breastfeeding,1991,33853.6162
World,Drugs,1991,267682.9469
World,High bloodpressure,1991,6988580.174
World,High bodymass  index,1991,2222986.643
World,High fasting plasma glucose,1991,3508798.395
World,Iron deficiency,1991,123752.2323
World,Low birth weight for gestation,1991,1960013.069
World,Low bonemineraldensity,1991,155500.3615
World,Low physicalactivity,1991,853210.7577
World,No access to handwashing facility,1991,1230318.626
World,Nonexclusive breastfeeding,1991,502180.0259
World,Secondhand smoke,1991,1251918.229
World,Smoking,1991,5769043.287
World,Unsafe sanitation,1991,1622958.94
World,Unsafe sex,1991,534031.9754
World,Unsafe watersource,1991,2095066.505
World,VitaminA deficiency,1991,971721.1216
World,Zinc deficiency,1991,136935.2345
World,Air Pollution,1991,4720094.144
World,Indoor Air Pollution,1991,2677805.722
World,Outdoor Air Pollution,1991,2204256.45
World,Alcohol use,1992,1939783.304
World,Child stunting,1992,946360.0447
World,Child wasting,1992,3203517.655
World,Diet high in red meat,1992,13227.11576
World,Diet high in sodium,1992,2292060.318
World,Diet low  in nutsandseeds,1992,1458515.367
World,Diet low in calcium,1992,108972.1636
World,Diet low in fiber,1992,615631.9994
World,Diet low in fruits,1992,1977387.321
World,Diet low in legumes,1992,416920.0633
World,Diet low in seafood omega3fattyacids,1992,1027648.369
World,Diet low in vegetables,1992,1321951.036
World,Diet low in whole grains,1992,2234234.521
World,Discontinued breastfeeding,1992,32221.54775
World,Drugs,1992,287034.8138
World,High bloodpressure,1992,7115388.804
World,High bodymass  index,1992,2303362.649
World,High fasting plasma glucose,1992,3597104.065
World,Iron deficiency,1992,124721.5959
World,Low birth weight for gestation,1992,1941448.918
World,Low bonemineraldensity,1992,159199.6344
World,Low physicalactivity,1992,867723.8859
World,No access to handwashing facility,1992,1209423.879
World,Nonexclusive breastfeeding,1992,481844.5346
World,Secondhand smoke,1992,1255581.16
World,Smoking,1992,5869243.876
World,Unsafe sanitation,1992,1588275.164
World,Unsafe sex,1992,618562.1743
World,Unsafe watersource,1992,2053362.286
World,VitaminA deficiency,1992,950555.6553
World,Zinc deficiency,1992,131265.5078
World,Air Pollution,1992,4745836.577
World,Indoor Air Pollution,1992,2648544.39
World,Outdoor Air Pollution,1992,2260754.7
World,Alcohol use,1993,2025045.603
World,Child stunting,1993,918946.6391
World,Child wasting,1993,3115719.489
World,Diet high in red meat,1993,13551.58091
World,Diet high in sodium,1993,2315164.71
World,Diet low  in nutsandseeds,1993,1508398.818
World,Diet low in calcium,1993,112389.9034
World,Diet low in fiber,1993,636351.9274
World,Diet low in fruits,1993,2037634.449
World,Diet low in legumes,1993,436911.5928
World,Diet low in seafood omega3fattyacids,1993,1060458.917
World,Diet low in vegetables,1993,1357003.535
World,Diet low in whole grains,1993,2312937.055
World,Discontinued breastfeeding,1993,30647.96698
World,Drugs,1993,306575.9508
World,High bloodpressure,1993,7329202.966
World,High bodymass  index,1993,2428019.231
World,High fasting plasma glucose,1993,3721781.68
World,Iron deficiency,1993,121526.6645
World,Low birth weight for gestation,1993,1916294.891
World,Low bonemineraldensity,1993,163634.9343
World,Low physicalactivity,1993,897760.8372
World,No access to handwashing facility,1993,1188248.169
World,Nonexclusive breastfeeding,1993,462904.133
World,Secondhand smoke,1993,1260815.712
World,Smoking,1993,6023154.99
World,Unsafe sanitation,1993,1553936.146
World,Unsafe sex,1993,709085.8358
World,Unsafe watersource,1993,2013224.699
World,VitaminA deficiency,1993,931671.8768
World,Zinc deficiency,1993,126413.9982
World,Air Pollution,1993,4768144.772
World,Indoor Air Pollution,1993,2604092.494
World,Outdoor Air Pollution,1993,2327997.81
World,Alcohol use,1994,2097212.994
World,Child stunting,1994,894085.2536
World,Child wasting,1994,3039123.021
World,Diet high in red meat,1994,13688.49021
World,Diet high in sodium,1994,2319321.178
World,Diet low  in nutsandseeds,1994,1538154.126
World,Diet low in calcium,1994,114832.5272
World,Diet low in fiber,1994,649962.5083
World,Diet low in fruits,1994,2081888.293
World,Diet low in legumes,1994,449216.1517
World,Diet low in seafood omega3fattyacids,1994,1083547.164
World,Diet low in vegetables,1994,1377999.282
World,Diet low in whole grains,1994,2366171.187
World,Discontinued breastfeeding,1994,29178.11928
World,Drugs,1994,325420.8238
World,High bloodpressure,1994,7469316.4
World,High bodymass  index,1994,2524269.751
World,High fasting plasma glucose,1994,3815828.882
World,Iron deficiency,1994,119260.7228
World,Low birth weight for gestation,1994,1881590.107
World,Low bonemineraldensity,1994,167304.1564
World,Low physicalactivity,1994,914048.173
World,No access to handwashing facility,1994,1167209.347
World,Nonexclusive breastfeeding,1994,445422.5075
World,Secondhand smoke,1994,1260994.206
World,Smoking,1994,6115916.982
World,Unsafe sanitation,1994,1519967.074
World,Unsafe sex,1994,805607.2523
World,Unsafe watersource,1994,1973406.044
World,VitaminA deficiency,1994,914227.2521
World,Zinc deficiency,1994,122378.8743
World,Air Pollution,1994,4773589.913
World,Indoor Air Pollution,1994,2563321.579
World,Outdoor Air Pollution,1994,2374627.04
World,Alcohol use,1995,2144887.033
World,Child stunting,1995,867648.5004
World,Child wasting,1995,3031073.947
World,Diet high in red meat,1995,13851.86098
World,Diet high in sodium,1995,2329576.544
World,Diet low  in nutsandseeds,1995,1548656.151
World,Diet low in calcium,1995,117021.9382
World,Diet low in fiber,1995,655456.8087
World,Diet low in fruits,1995,2099364.92
World,Diet low in legumes,1995,451432.5448
