Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Child wasting - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Child stunting - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - High fasting plasma glucose - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - High total cholesterol - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - High systolic blood pressure - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - High body-mass index - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Diet low in fruits - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Diet low in vegetables - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Unsafe water source - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Unsafe sanitation - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Ambient particulate matter pollution - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Iron deficiency - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Vitamin A deficiency - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Zinc deficiency - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Smoking - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Diet high in sodium - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Low physical activity - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Secondhand smoke - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Drug use - Sex: Both - Age: All Ages (Number),DALYs (Disability-Adjusted Life Years) - Air pollution - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,1986646.37,905166.8599,582730.9548,291103.7332,697308.42,246898.3609,244040.5218,208536.8549,669136.7075,521511.9315,207108.6075,1186388.117,73863.47684,848211.7607,43581.72316,179568.8515,70564.87125,98784.2411,282856.9627,211581.2619,51288.74128,1396894.833
Afghanistan,AFG,1991,1945396.391,893422.8115,589436.4911,,703139.8261,248043.3685,246864.9644,211449.9337,653451.7032,508979.9752,207126.996,1161641.549,77015.88783,847960.2216,45674.76641,180019.5399,70591.08239,99448.82184,276783.8726,208935.6867,54729.66237,1372209.092
Afghanistan,AFG,1992,2020054.902,924667.8357,612708.1118,,726831.6818,258307.0582,258888.7408,221851.9148,683361.5155,531882.1192,215298.0792,1208403.874,93567.51165,893490.3833,48884.41578,184067.4825,72652.81489,102373.5085,293014.4166,218153.7164,69158.97513,1427254.464
Afghanistan,AFG,1993,2443221.664,1069002.254,640742.5642,,755837.2141,270436.1933,274598.209,235158.0223,914371.0506,711012.5338,254329.3963,1426202.891,112954.4098,1046485.065,59514.52687,189341.5133,74740.76843,106006.5677,393689.4316,255940.121,86436.80225,1684234.497
Afghanistan,AFG,1994,2883148.98,1238041.4,659647.2883,,776509.8938,276880.6234,285333.1864,245034.1131,1017926.671,790743.7498,286731.5315,1616132.154,120577.5982,1180348.387,75547.3262,193668.9847,75673.69928,108725.6265,448462.7937,288758.2363,93502.66931,1906673.544
Afghanistan,AFG,1995,3119170.876,1328728.315,669162.8805,447567.13,786069.7368,279256.6204,292247.1155,250477.6954,1128780.625,876258.9623,298220.9812,1696911.89,126509.3091,1249063.446,99768.08291,195157.5873,76066.15996,109998.7979,474788.8353,303560.507,99886.06956,1999009.931
Afghanistan,AFG,1996,3162520.694,1395233.598,681181.7317,,798529.3164,282257.2239,301020.7734,257264.6277,1086859.86,842923.1042,303830.011,1717915.047,133123.2553,1326747.703,112481.3848,198112.8762,76659.42382,111665.4389,462707.4604,309699.3184,106364.3239,2025685.804
Afghanistan,AFG,1997,3218295.408,1435416.814,693357.5269,,811491.3801,284421.7776,310282.5922,264197.0537,1103082.707,854751.7639,308596.1125,1731498.98,139819.4588,1373960.906,128911.0537,201996.5157,77340.45991,113343.2831,463437.8052,315678.9182,111780.8265,2044094.007
Afghanistan,AFG,1998,3202332.798,1451678.913,703161.884,,821827.9834,285466.6256,318428.2899,269923.3557,1087163.738,841348.5906,302554.0779,1731548.136,145740.5703,1400171.893,143223.9394,205985.4439,77808.56403,114673.6763,454148.7177,318079.6205,115696.7214,2038148.6
Afghanistan,AFG,1999,3162970.536,1457081.641,707361.5255,,827425.2583,284665.4497,323128.3734,272485.6365,1074164.999,830331.2212,300626.4529,1703356.531,145194.1934,1421612.632,157152.1123,209211.5785,78242.62878,115605.1218,443366.5726,317165.2226,114418.4879,2008088.456
Afghanistan,AFG,2000,3004760.195,1427898.33,709837.6763,537073.4555,831195.0894,285259.7034,327489.0776,274251.2281,998354.5465,770971.9281,285455.0741,1605122.679,144064.485,1415097.438,166168.297,211642.9236,78300.01393,116643.2754,401463.7442,304182.7387,114180.9227,1894751.444
Afghanistan,AFG,2001,2839839.281,1379792.057,718123.9043,,837724.9495,292829.1011,333670.1742,277529.0558,939271.1817,724565.1181,280568.9929,1551519.834,143791.3935,1386951.134,158657.9971,215987.7375,78550.61021,118134.565,370972.4856,298581.5695,117553.8156,1836364.718
Afghanistan,AFG,2002,2674998.081,1308727.613,725313.6347,,840663.8049,307368.0274,338297.306,279200.4868,884726.1035,681576.4106,277578.5566,1475073.902,149973.8435,1333868.148,149721.6725,219562.8316,79240.20915,118852.4795,338857.7833,290271.1965,131323.4338,1757027.717
Afghanistan,AFG,2003,2636865.104,1042212.669,735870.1309,,843636.6096,327344.9659,342976.1598,280956.873,1039296.738,799417.821,319455.914,1633249.36,155815.657,914238.5479,202669.5867,223410.7312,80056.8338,119411.3633,367959.5128,324818.9644,148289.2818,1957175.118
Afghanistan,AFG,2004,2595552.531,943161.308,741489.2712,,843086.8068,348306.3667,345436.8783,281191.4026,1054212.98,809467.7909,324255.4817,1655492.939,154470.4611,771308.4045,219590.5281,226931.1512,81364.96454,119534.0048,357528.0303,332029.8636,159591.1782,1984257.976
Afghanistan,AFG,2005,2442507.231,883178.4996,745909.9733,637818.4094,840614.2792,370639.6204,348095.4133,281703.883,998197.9255,765042.3334,324330.7241,1596795.013,158609.3503,722393.3674,218187.6431,230609.1393,82337.34756,119506.4847,330792.8204,327292.6316,173924.1739,1925703.075
Afghanistan,AFG,2006,2306994.864,846045.8701,747977.2039,653893.7481,838766.5461,397011.1766,348384.7863,280749.9325,920062.7248,703103.9292,322580.5238,1534586.449,155827.7902,711708.9207,193219.6182,234307.4254,83168.14278,119407.1076,312254.1081,321364.4001,181554.8949,1861802.686
Afghanistan,AFG,2007,2113963.329,790469.8552,749022.4575,,835681.062,431290.4624,347056.0071,278572.459,822600.1768,627329.2169,316854.0851,1418089.087,154509.033,681777.7674,171707.2973,238228.1363,83965.90906,119087.4618,283318.1886,307422.2913,189897.8084,1739668.168
Afghanistan,AFG,2008,1921829.041,767265.3925,756302.7956,,839201.8266,473105.1556,349447.1493,279674.5946,724544.5118,550841.3074,305739.4702,1313132.531,154956.9456,714549.5136,140657.904,243963.3412,85438.77702,119644.3631,262835.7996,293413.999,204081.9543,1623676.307
Afghanistan,AFG,2009,1795700.157,752466.8323,759434.1291,,835916.974,508932.7928,348964.4282,278409.8519,653460.4127,494417.7728,300487.5813,1225547.167,152562.7392,748476.9142,113671.6029,248283.6336,86805.99115,119517.761,252865.4112,282438.3714,214753.7964,1530915.439
Afghanistan,AFG,2010,1675379.938,671786.785,764852.2839,694267.4867,832828.3605,537004.122,349448.6881,278401.3446,621066.6798,467340.3792,301185.4181,1180083.106,150529.0214,662534.6155,108340.6367,251977.5929,88234.95726,119378.9926,246619.2135,277845.9006,225254.8722,1486228.674
